model,imageid,image,male,female,unknown
1,1,1_2023_02007sep2_t01,5.324276447296143,5.649657249450684,4.531263828277588
2,1,1_2023_02007sep2_t01,7.470202445983887,6.476943016052246,6.588759422302246
3,1,1_2023_02007sep2_t01,6.456173896789551,7.015868186950684,6.9432220458984375
4,1,1_2023_02007sep2_t01,6.832207202911377,7.08493709564209,6.535124778747559
5,1,1_2023_02007sep2_t01,5.6864423751831055,6.273547172546387,5.896432399749756
6,1,1_2023_02007sep2_t01,5.54704475402832,5.913968086242676,6.251416206359863
7,1,1_2023_02007sep2_t01,5.894321918487549,6.216745853424072,6.254959583282471
8,1,1_2023_02007sep2_t01,6.655937671661377,7.01283073425293,6.761706352233887
9,1,1_2023_02007sep2_t01,6.9367194175720215,7.170864105224609,7.4598708152771
10,1,1_2023_02007sep2_t01,5.619757652282715,5.705378532409668,5.893487930297852
1,2023,2023_02007sep2_t01_loopnr_1_standard,5.131320476531982,5.49018669128418,4.320681571960449
2,2023,2023_02007sep2_t01_loopnr_1_standard,7.377678394317627,6.377159595489502,6.532568454742432
3,2023,2023_02007sep2_t01_loopnr_1_standard,6.285550117492676,6.860280990600586,6.795413970947266
4,2023,2023_02007sep2_t01_loopnr_1_standard,6.6897101402282715,6.909167289733887,6.3228864669799805
5,2023,2023_02007sep2_t01_loopnr_1_standard,5.576693534851074,6.153314590454102,5.766133785247803
6,2023,2023_02007sep2_t01_loopnr_1_standard,5.49986457824707,5.9026384353637695,6.170907020568848
7,2023,2023_02007sep2_t01_loopnr_1_standard,5.694797992706299,6.014501571655273,6.032727241516113
8,2023,2023_02007sep2_t01_loopnr_1_standard,6.6639556884765625,6.98457145690918,6.762961387634277
9,2023,2023_02007sep2_t01_loopnr_1_standard,6.937700271606445,7.195319175720215,7.492255210876465
10,2023,2023_02007sep2_t01_loopnr_1_standard,5.535923004150391,5.686836242675781,5.865416526794434
1,2023,2023_02010sep2_t01_loopnr_2_standard,8.020784378051758,8.223099708557129,7.986581802368164
2,2023,2023_02010sep2_t01_loopnr_2_standard,9.429146766662598,8.374361991882324,8.924505233764648
3,2023,2023_02010sep2_t01_loopnr_2_standard,8.496598243713379,8.792109489440918,9.088112831115723
4,2023,2023_02010sep2_t01_loopnr_2_standard,8.551655769348145,8.411507606506348,8.943338394165039
5,2023,2023_02010sep2_t01_loopnr_2_standard,10.065271377563477,10.016544342041016,9.820934295654297
6,2023,2023_02010sep2_t01_loopnr_2_standard,8.925158500671387,8.52511978149414,9.16287612915039
7,2023,2023_02010sep2_t01_loopnr_2_standard,9.143962860107422,9.220756530761719,9.840513229370117
8,2023,2023_02010sep2_t01_loopnr_2_standard,8.889513969421387,9.28812313079834,9.550945281982422
9,2023,2023_02010sep2_t01_loopnr_2_standard,8.828389167785645,9.102755546569824,8.972916603088379
10,2023,2023_02010sep2_t01_loopnr_2_standard,9.52616024017334,9.550762176513672,10.249749183654785
1,2023,2023_02010sep2_t02_loopnr_3_standard,7.500085353851318,7.604615688323975,6.7243194580078125
2,2023,2023_02010sep2_t02_loopnr_3_standard,8.875524520874023,7.920683860778809,8.423423767089844
3,2023,2023_02010sep2_t02_loopnr_3_standard,8.991697311401367,8.946219444274902,8.796995162963867
4,2023,2023_02010sep2_t02_loopnr_3_standard,8.542264938354492,8.317696571350098,8.470616340637207
5,2023,2023_02010sep2_t02_loopnr_3_standard,9.173139572143555,9.065353393554688,8.777417182922363
6,2023,2023_02010sep2_t02_loopnr_3_standard,8.373214721679688,8.377225875854492,8.832371711730957
7,2023,2023_02010sep2_t02_loopnr_3_standard,8.505851745605469,8.88565731048584,8.741823196411133
8,2023,2023_02010sep2_t02_loopnr_3_standard,9.010452270507812,8.781227111816406,9.002038955688477
9,2023,2023_02010sep2_t02_loopnr_3_standard,8.079841613769531,7.8493547439575195,8.009904861450195
10,2023,2023_02010sep2_t02_loopnr_3_standard,8.0089693069458,8.25385570526123,7.940373420715332
1,2,2_2023_02010sep2_t01,8.359779357910156,8.502225875854492,8.334943771362305
2,2,2_2023_02010sep2_t01,9.466283798217773,8.404239654541016,8.898757934570312
3,2,2_2023_02010sep2_t01,8.56722640991211,8.856485366821289,9.125635147094727
4,2,2_2023_02010sep2_t01,8.732454299926758,8.535164833068848,9.100147247314453
5,2,2_2023_02010sep2_t01,10.07547378540039,10.025603294372559,9.730170249938965
6,2,2_2023_02010sep2_t01,8.848413467407227,8.427733421325684,9.053157806396484
7,2,2_2023_02010sep2_t01,9.263603210449219,9.282990455627441,9.832442283630371
8,2,2_2023_02010sep2_t01,8.99222183227539,9.408570289611816,9.708234786987305
9,2,2_2023_02010sep2_t01,8.844659805297852,9.135496139526367,9.007930755615234
10,2,2_2023_02010sep2_t01,9.562065124511719,9.603975296020508,10.286343574523926
